name,nationality,sport
István Kovács,Nádudvar,Olympic wrestler
Ivan Hlinka,Czechoslovakia,Ice hockey player
Ivan Sutherland,NULL,Rower
Elisabeta Lazăr,NULL,Rower
Ellie Daniel,Philadelphia,American swimmer Olympic gold medalist former world record-holder
Erich Kühnhackl,Czechoslovakia,Ice hockey player
Eshetu Tura,NULL,Athletics (sport) competitor
Tomás Herrera Martínez,NULL,Basketball player
Mária Vadász,Hungary,Hungarian handball player
Wiltrud Drexel,Austria,Alpine skier
Yuri Salnikov,Soviet Union,Equestrian
Franz Schachner,NULL,Luger
Géza Csapó,NULL,Canoe racer
Galina Mishenina,NULL,Rower
Diego Lapera,Cuba,Volleyball player
Dietmar Lorenz,Schleiz,Judoka
Douglas Rodríguez,Cuba,Boxer
Rod Dixon,NULL,New Zealand distance runner
Roland Matthes,{Thuringia|Pößneck},Swimmer
Rozália Lelkes,Hungary,Hungarian handball player
Ryszard Przybysz,NULL,Polish handball player
Miguel Calderón Gómez,NULL,Basketball player
Uwe Kagelmann,Germany,German pair skater
Víctor García,NULL,Volleyball player
Valentyna Kozyr,NULL,Soviet-Ukrainian high jumper
Shota Chochishvili,Soviet Union,Judoka
Simon Schobel,NULL,Handball player
Maricica Puică,NULL,Athletics (sport) competitor
Mark Spitz,Modesto California,American swimmer Olympic gold medalist
Jan Evert Veer,The Hague,former Dutch water polo player participated in three Summer Olympics
Jan Johnson,Hammond Indiana,Athletics (sport) competitor
Juan Domecq,NULL,Basketball player
Juan Roca Brunet,NULL,Basketball player
Juris Silovs,NULL,Athletics (sport) competitor
Radu Voina,Romania,Handball player
Rafael Cañizares,NULL,Basketball player
Ravdangiin Davaadalai,NULL,Judoka
Renate Stecher,NULL,German sprinter
Peter van Roye,NULL,Rower
Alec McLean,New Zealand,Rower
Risto Hurme,Finland,Modern pentathlete fencer
Robert Cusack,NULL,Swimmer
Robert Kasting,Canada,Swimmer
Sumio Endo,NULL,Judoka
Tanya Gogova,NULL,Volleyball player
Tatyana Averina,Nizhny Novgorod,Speed skater
David Torosyan,Armenia,Boxer
Munawwaruz Zaman,NULL,Pakistani field hockey player
Nadezhda Besfamilnaya,NULL,Soviet sprinter
Vasyl Yurchenko,Soviet Union,Ukrainian canoeist
Viktor Zvyahintsev,{Ukrainian Soviet Socialist Republic|Donetsk},Ukrainian footballer
Vladimir Bure,NULL,Swimmer
Vladimir Kondra,Russia,Volleyball player
Amália Sterbinszky,Hungary,Hungarian handball player
Andrei Yakubik,Soviet Union,Soviet footballer
Lothar Kurbjuweit,{East Germany|Riesa},German footballer and manager
Fedia Damianov,NULL,Canoe racer
Inge Helten,Sinzig,German sprinter
Charles Wiggin,United Kingdom,Rower
Adrian Cosma,NULL,Handball player
Conrado Pérez,NULL,Basketball player
Constantin Tudosie,Romania,Handball player and coach
Corneliu Oros,Romania,Volleyball player
Cynthia Potter,{Houston|Texas},Diver
Karlheinz Klotz,NULL,German sprinter
Keala O'Sullivan,United States,Former American Olympic diver.
Kenkichi Ando,NULL,Weightlifter
Inta Kļimoviča,NULL,Soviet sprinter
Jörg Landvoigt,Brandenburg an der Havel,Rower
Jürgen Fanghänel,{Saxony|Limbach-Oberfrohna},Boxer
Jack Horsley,Salt Lake City,American swimmer Olympic bronze medalist physician
Enrique Rodríguez,NULL,Boxer
Eric Lindroth,NULL,Water polo player
Ernesto Martínez,Cuba,Volleyball player
Thea Einöder,NULL,Rower
Magda Maros,Hungary,Hungarian fencer
Manfred Geyer,NULL,German biathlete
Manfred Schumann,Hanover,Bobsledder
Greg Brough,NULL,Swimmer
Grzegorz Stellak,Płock,Polish rower
Gwen Cheeseman,United States,Field hockey player
Wolfgang Güldenpfennig,Magdeburg,Rower
Wolfgang Hanisch,NULL,Athletics (sport) competitor German javelin thrower
Wolfram Fiedler,Ilmenau,Luger
Yevgeniy Gavrilenko,NULL,Soviet hurdler
Zoltán Bakó,NULL,Canoe racer
Franz-Peter Hofmeister,NULL,German sprinter
Gary Hall Sr.,Fayetteville North Carolina,American swimmer Olympic silver medalist former world record-holder
Peter Dean,United States,Sailor
Peter Ficker,NULL,Sailor
Peter Niehusen,NULL,Rower
Dianne Holum,United States,Speed skater
Didier Flament,France,Fencer
Don Quarrie,Jamaica,Athletics (sport) competitor sprinter
Doug Herland,NULL,Olympic medalist in rowing
Ronnie Mills,Fort Worth Texas,American swimmer Olympic gold medalist
Rudolf Schmid,NULL,Luger
Ryszard Kubiak,NULL,Rower
Ryszard Stadniuk,NULL,Rower
Mieczysław Nowicki,Poland,Polish racing cyclist
Mieczysław Wojczak,NULL,Polish handball player
Minneula Azizov,Soviet Union,Field hockey player
Sergei Nikulin,{Tajik Soviet Socialist Republic|Dushanbe},Russian footballer
Simon Dickie,NULL,Rower
Siyka Kelbecheva,NULL,Rower
Harald Gimpel,NULL,Canoe racer
Konrad Weise,{East Germany|Gera},German footballer
Laurenţiu Dumănoiu,Romania,Volleyball player
Maria Nichiforov,NULL,Canoe racer
Marlene Elejarde,NULL,Athletics (sport) competitor
Jan Gmyrek,NULL,Polish handball player
Jane Swagerty,Oakdale California,American swimmer Olympic bronze medalist
Janusz Brzozowski,NULL,Polish handball player
Dražen Dalipagić,{Socialist Federal Republic of Yugoslavia|Mostar},Basketball player
Eberhard Gienger,Germany,Gymnast
Elaine Tanner,Vancouver,Swimmer
John Kerr,NULL,Olympic sailor
Ashot Karagyan,Armenia,Fencer
Anette Rückes,NULL,German sprinter
Anita Miller,United States,Field hockey player
Antonio Rodríguez,NULL,Volleyball player
Olaf Engelhardt,NULL,Sailor
Péter Baczakó,NULL,Weightlifter
