name,nationality,sport
István Kovács (wrestler),,Olympic wrestler
Ivan  Hlinka,Czechoslovakia,Ice hockey player
Ivan Sutherland (rower),,Rower
Elisabeta Lazăr,,Rower
Ellie Daniel,United States,American swimmer Olympic gold medalist former world record-holder
Erich Kühnhackl,Czechoslovakia,Ice hockey player
Eshetu Tura,,Athletics (sport) competitor
Tomás Herrera Martínez,,Basketball player
Mária Vadász,Hungary,Hungarian handball player
Wiltrud Drexel,Austria,Alpine skier
Yuri Salnikov,Soviet Union,Equestrian
Franz Schachner,,Luger
Géza Csapó,,Canoe racer
Galina Mishenina,,Rower
Diego Lapera,Cuba,Volleyball player
Dietmar Lorenz,,Judoka
Douglas Rodríguez (boxer),Cuba,Boxer
Rod Dixon,,New Zealand distance runner
Roland Matthes,,Swimmer
Rozália Lelkes,Hungary,Hungarian handball player
Ryszard Przybysz,Poland,Polish handball player
Miguel Calderón Gómez,,Basketball player
Uwe Kagelmann,Germany,German pair skater
Víctor García (volleyball),,Volleyball player
Valentyna Kozyr,,Soviet-Ukrainian high jumper
Shota Chochishvili,Soviet Union,Judoka
Simon Schobel,,Handball player
Maricica Puică,,Athletics (sport) competitor
Mark Spitz,United States,American swimmer Olympic gold medalist
Jan Evert Veer,Netherlands,former Dutch water polo player participated in three Summer Olympics
Jan Johnson,United States,Athletics (sport) competitor
Juan Domecq,,Basketball player
Juan Roca Brunet,,Basketball player
Juris Silovs (athlete),,Athletics (sport) competitor
Radu Voina,Romania,Handball player
Rafael Cañizares,,Basketball player
Ravdangiin Davaadalai,,Judoka
Renate Stecher,Germany,German sprinter
Peter van Roye,,Rower
Alec McLean,New Zealand,Rower
Risto Hurme,Finland,Modern pentathlete fencer
Robert Cusack,,Swimmer
Robert Kasting,Canada,Swimmer
Sumio Endo,,Judoka
Tanya Gogova,,Volleyball player
Tatyana Averina,,Speed skater
David Torosyan,Armenia,Boxer
Munawwaruz Zaman,Pakistan,Pakistani field hockey player
Nadezhda Besfamilnaya,Soviet Union,Soviet sprinter
Vasyl Yurchenko,Soviet Union,Ukrainian canoeist
Viktor Zvyahintsev,Ukraine,Ukrainian footballer
Vladimir Bure,,Swimmer
Vladimir Kondra,Russia,Volleyball player
Amália Sterbinszky,Hungary,Hungarian handball player
Andrei Yakubik,Soviet Union,Soviet footballer
Lothar Kurbjuweit,Germany,German footballer and manager
Fedia Damianov,,Canoe racer
Inge Helten,Germany,German sprinter
Charles Wiggin,United Kingdom,Rower
Adrian Cosma,,Handball player
Conrado Pérez,,Basketball player
Constantin Tudosie,Romania,Handball player and coach
Corneliu Oros,Romania,Volleyball player
Cynthia Potter,United States,Diver
Karlheinz Klotz,Germany,German sprinter
Keala O'Sullivan,United States,Former American Olympic diver.
Kenkichi Ando,,Weightlifter
Inta Kļimoviča,Soviet Union,Soviet sprinter
Jörg Landvoigt,Germany,Rower
Jürgen Fanghänel,Germany,Boxer
Jack Horsley,United States,American swimmer Olympic bronze medalist physician
Enrique Rodríguez (boxer),,Boxer
Eric Lindroth,,Water polo player
Ernesto Martínez,Cuba,Volleyball player
Thea Einöder,,Rower
Magda Maros,Hungary,Hungarian fencer
Manfred Geyer,Germany,German biathlete
Manfred Schumann,United States,Bobsledder
Greg Brough,,Swimmer
Grzegorz Stellak,Poland,Polish rower
Gwen Cheeseman,United States,Field hockey player
Wolfgang Güldenpfennig,Germany,Rower
Wolfgang Hanisch,Germany,Athletics (sport) competitor German javelin thrower
Wolfram Fiedler,Germany,Luger
Yevgeniy Gavrilenko,Soviet Union,Soviet hurdler
Zoltán Bakó,,Canoe racer
Franz-Peter Hofmeister,Germany,German sprinter
Gary Hall Sr.,United States,American swimmer Olympic silver medalist former world record-holder
Peter Dean (sailor),United States,Sailor
Peter Ficker,,Sailor
Peter Niehusen,,Rower
Dianne Holum,United States,Speed skater
Didier Flament,France,Fencer
Don Quarrie,Jamaica,Athletics (sport) competitor sprinter
Doug Herland,,Olympic medalist in rowing
Ronnie Mills,United States,American swimmer Olympic gold medalist
Rudolf Schmid (luger),,Luger
Ryszard Kubiak,,Rower
Ryszard Stadniuk,,Rower
Mieczysław Nowicki,Poland,Polish racing cyclist
Mieczysław Wojczak,Poland,Polish handball player
Minneula Azizov,Soviet Union,Field hockey player
Sergei Nikulin,Tajikistan,Russian footballer
Simon Dickie,,Rower
Siyka Kelbecheva,,Rower
Harald Gimpel,,Canoe racer
Konrad Weise,Germany,German footballer
Laurenţiu Dumănoiu,Romania,Volleyball player
Maria Nichiforov,,Canoe racer
Marlene Elejarde,,Athletics (sport) competitor
Jan Gmyrek,Poland,Polish handball player
Jane Swagerty,United States,American swimmer Olympic bronze medalist
Janusz Brzozowski (handballer),Poland,Polish handball player
Dražen Dalipagić,Yugoslavia,Basketball player
Eberhard Gienger,Germany,Gymnast
Elaine Tanner,Canada,Swimmer
John Kerr (sailor),,Olympic sailor
Ashot Karagyan,Armenia,Fencer
Anette Rückes,Germany,German sprinter
Anita Miller,United States,Field hockey player
Antonio Rodríguez (volleyball),,Volleyball player
Olaf Engelhardt,,Sailor
Péter Baczakó,,Weightlifter
Alan Minter,England,Middleweight boxer champion of the world
Alejandro Urgelles Guibot,,Basketball player
Alexander Belov,Soviet Union,Basketball player
Rick Colella,United States,American swimmer Olympic bronze medalist
Susan Corrock,United States,Alpine skier
David Kipiani,Soviet Union,footballer
David Roberts (athlete),United States,American pole vaulter
Georgios Hatziioannidis,,Olympic wrestler
Gerardo Tazzer,,Equestrian
Bernd Herrmann,Germany,German sprinter
Bernd Landvoigt,Germany,Rower
Beth Anders,United States,Field hockey player
Bogusław Zych,Poland,Polish fencer
Boris Lukomsky,Russia,Fencer
Burglinde Pollak,Germany,German heptathlete
Vicky Latta,,Equestrian
Władysław Stecyk,,Olympic wrestler
Joachim Streich,Germany,East German footballer
Anatoly Alyabyev,Soviet Union,Soviet biathlete
Lidiya Krylova,,Rower
