Year,Name,Birthplace,Nationality,Sport,Labels,Medal
1950,Elizabeth Chase,NULL,NULL,Field hockey player,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|ZimbabweanFieldHockeyPlayers|Athlete109820263|CausalAgent100007347|Contestant109613191|HockeyPlayer110179291|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Player110439851|Whole100003553|YagoLegalActorGeo|FieldHockeyPlayersAtThe1980SummerOlympics|PhysicalEntity100001930|Winner110782940|OlympicFieldHockeyPlayersOfZimbabwe|OlympicGoldMedalistsForZimbabwe|OlympicMedalistsInFieldHockey|YagoLegalActor},Gold Medalist
1950,Ellie Daniel,Philadelphia,United States,American swimmer Olympic gold medalist former world record-holder,{agent|athlete|person|swimmer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|AmericanSwimmers|Athlete109820263|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Swimmer110683349|Whole100003553|YagoLegalActorGeo|FemaleButterflySwimmers|PhysicalEntity100001930|Winner110782940|SwimmersAtThe1968SummerOlympics|SwimmersAtThe1972SummerOlympics|OlympicBronzeMedalistsForTheUnitedStates|OlympicGoldMedalistsForTheUnitedStates|OlympicMedalistsInSwimming|OlympicSilverMedalistsForTheUnitedStates|OlympicSwimmersOfTheUnitedStates|YagoLegalActor},Gold Medalist
1950,Tetsuo Nishimoto,NULL,NULL,Volleyball player,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|JapaneseVolleyballPlayers|LivingPeople|VolleyballPlayersAtThe1972SummerOlympics|VolleyballPlayersAtThe1976SummerOlympics|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Player110439851|VolleyballPlayer110759047|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|OlympicGoldMedalistsForJapan|OlympicMedalistsInVolleyball|OlympicVolleyballPlayersOfJapan|PeopleFromHiroshima|YagoLegalActor},Gold Medalist
1950,Luděk Macela,{Czechoslovakia|Černolice},NULL,Footballer,{agent|athlete|person|soccer player|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|Athlete109820263|CausalAgent100007347|Contestant109613191|FootballPlayer110101634|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Player110439851|Whole100003553|YagoLegalActorGeo|CzechExpatriateFootballers|CzechFootballers|CzechoslovakFootballers|CzechoslovakiaInternationalFootballers|DuklaPragueFootballers|ExpatriateFootballersInGermany|FootballersAtThe1980SummerOlympics|PhysicalEntity100001930|Winner110782940|OlympicFootballersOfCzechoslovakia|OlympicGoldMedalistsForCzechoslovakia|OlympicMedalistsInFootball|YagoLegalActor},Gold Medalist
1950,Mac Wilkins,NULL,NULL,Athletics (sport) competitor,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|AmericanDiscusThrowers|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Throwster110709745|Whole100003553|Worker109632518|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|OlympicGoldMedalistsForTheUnitedStates|OlympicMedalistsInAthletics(trackAndField)|OlympicSilverMedalistsForTheUnitedStates|YagoLegalActor},Gold Medalist
1950,Grzegorz Lato,{Poland|Malbork},NULL,Polish footballer,{agent|person|soccer manager|sports manager|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Athlete|SoccerPlayer|K.S.C.LokerenOost-VlaanderenPlayers|LivingPeople|Widzew%C5%81%C3%B3d%C5%BAManagers|1974FIFAWorldCupPlayers|1978FIFAWorldCupPlayers|1982FIFAWorldCupPlayers|Administrator109770949|Athlete109820263|BelgianProLeaguePlayers|CFAtlanteFootballers|CausalAgent100007347|Contestant109613191|Director110014939|FootballPlayer110101634|Head110162991|Leader109623038|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Player110439851|Politician110451263|Whole100003553|YagoLegalActorGeo|DemocraticLeftAlliancePoliticians|EkstraklasaPlayers|ExpatriateFootballersInBelgium|ExpatriateFootballersInMexico|FootballersAtThe1972SummerOlympics|FootballersAtThe1976SummerOlympics|PhysicalEntity100001930|Winner110782940|StalMielecManagers|StalMielecPlayers|OlympicFootballersOfPoland|OlympicGoldMedalistsForPoland|OlympicMedalistsInFootball|OlympicSilverMedalistsForPoland|PeopleFromMalbork|PolandInternationalFootballers|PolishExpatriateFootballers|PolishFootballManagers|PolishFootballers|YagoLegalActor},Gold Medalist
1950,Guy Drut,{Pas-de-Calais|France},France,Athletics (sport) competitor and politician,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|Athlete109820263|CausalAgent100007347|Contestant109613191|Hurdler110193864|Leader109623038|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Politician110451263|Whole100003553|YagoLegalActorGeo|FrenchHurdlers|PhysicalEntity100001930|Winner110782940|OlympicAthletesOfFrance|OlympicGoldMedalistsForFrance|OlympicMedalistsInAthletics(trackAndField)|OlympicSilverMedalistsForFrance|PeopleFromPas-de-Calais|PoliticiansOfTheFrenchFifthRepublic|YagoLegalActor},Gold Medalist
1950,Wolfgang Brinkmann,NULL,NULL,Equestrian,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GermanEquestrians|LivingPeople|CausalAgent100007347|Contestant109613191|Horseman110185793|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Rider110529965|Traveler109629752|Whole100003553|YagoLegalActorGeo|EquestriansAtThe1988SummerOlympics|PhysicalEntity100001930|Winner110782940|OlympicEquestriansOfWestGermany|OlympicGoldMedalistsForWestGermany|OlympicMedalistsInEquestrian|YagoLegalActor},Gold Medalist
1950,Yevgeny Kulikov,NULL,NULL,Speed skater,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Ice-skater110196490|LivingPeople|Athlete109820263|BurevestnikAthletes|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Skater110604491|Speedskater110634849|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|RussianSpeedSkaters|SovietSpeedSkaters|SpeedSkatersAtThe1976WinterOlympics|SpeedSkatersAtThe1980WinterOlympics|OlympicGoldMedalistsForTheSovietUnion|OlympicMedalistsInSpeedSkating|OlympicSilverMedalistsForTheSovietUnion|OlympicSpeedSkatersOfTheSovietUnion|YagoLegalActor},Gold Medalist
1950,Yordan Bikov,NULL,NULL,Weightlifter,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|WeightliftersAtThe1972SummerOlympics|Athlete109820263|BulgarianWeightlifters|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Weightlifter110773394|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|OlympicGoldMedalistsForBulgaria|OlympicMedalistsInWeightlifting|YagoLegalActor},Gold Medalist
