"","dataset","Medal"
"1","DBPedia","Gold"
"2","DBPedia","Gold"
"3","DBPedia","Gold"
"4","DBPedia","Gold"
"5","DBPedia","Gold"
"6","DBPedia","Gold"
"7","DBPedia","Gold"
"8","DBPedia","Gold"
"9","DBPedia","Gold"
"10","DBPedia","Gold"
"11","DBPedia","Gold"
"12","DBPedia","Gold"
"13","DBPedia","Gold"
"14","DBPedia","Gold"
"15","DBPedia","Gold"
"16","DBPedia","Gold"
"17","DBPedia","Gold"
"18","DBPedia","Gold"
"19","DBPedia","Gold"
"20","DBPedia","Gold"
"21","DBPedia","Gold"
"22","DBPedia","Gold"
"23","DBPedia","Gold"
"24","DBPedia","Gold"
"25","DBPedia","Gold"
"26","DBPedia","Gold"
"27","DBPedia","Gold"
"28","DBPedia","Gold"
"29","DBPedia","Gold"
"30","DBPedia","Gold"
"31","DBPedia","Gold"
"32","DBPedia","Gold"
"33","DBPedia","Gold"
"34","DBPedia","Gold"
"35","DBPedia","Gold"
"36","DBPedia","Gold"
"37","DBPedia","Gold"
"38","DBPedia","Gold"
"39","DBPedia","Gold"
"40","DBPedia","Gold"
"41","DBPedia","Gold"
"42","DBPedia","Gold"
"43","DBPedia","Gold"
"44","DBPedia","Gold"
"45","DBPedia","Gold"
"46","DBPedia","Gold"
"47","DBPedia","Gold"
"48","DBPedia","Gold"
"49","DBPedia","Gold"
"50","DBPedia","Gold"
"51","DBPedia","Gold"
"52","DBPedia","Gold"
"53","DBPedia","Gold"
"54","DBPedia","Gold"
"55","DBPedia","Gold"
"56","DBPedia","Gold"
"57","DBPedia","Gold"
"58","DBPedia","Gold"
"59","DBPedia","Gold"
"60","DBPedia","Gold"
"61","DBPedia","Gold"
"62","DBPedia","Gold"
"63","DBPedia","Gold"
"64","DBPedia","Gold"
"65","DBPedia","Gold"
"66","DBPedia","Gold"
"67","DBPedia","Gold"
"68","DBPedia","Gold"
"69","DBPedia","Gold"
"70","DBPedia","Gold"
"71","DBPedia","Gold"
"72","DBPedia","Gold"
"73","DBPedia","Gold"
"74","DBPedia","Gold"
"75","DBPedia","Gold"
"76","DBPedia","Gold"
"77","DBPedia","Gold"
"78","DBPedia","Gold"
"79","DBPedia","Gold"
"80","DBPedia","Gold"
"81","DBPedia","Gold"
"82","DBPedia","Gold"
"83","DBPedia","Gold"
"84","DBPedia","Gold"
"85","DBPedia","Gold"
"86","DBPedia","Gold"
"87","DBPedia","Gold"
"88","DBPedia","Gold"
"89","DBPedia","Gold"
"90","DBPedia","Gold"
"91","DBPedia","Gold"
"92","DBPedia","Gold"
"93","DBPedia","Gold"
"94","DBPedia","Gold"
"95","DBPedia","Gold"
"96","DBPedia","Gold"
"97","DBPedia","Gold"
"98","DBPedia","Gold"
"99","DBPedia","Gold"
"100","DBPedia","Gold"
"101","DBPedia","Gold"
"102","DBPedia","Gold"
"103","DBPedia","Gold"
"104","DBPedia","Gold"
"105","DBPedia","Gold"
"106","DBPedia","Gold"
"107","DBPedia","Gold"
"108","DBPedia","Gold"
"109","DBPedia","Gold"
"110","DBPedia","Gold"
"111","DBPedia","Gold"
"112","DBPedia","Gold"
"113","DBPedia","Gold"
"114","DBPedia","Gold"
"115","DBPedia","Gold"
"116","DBPedia","Gold"
"117","DBPedia","Gold"
"118","DBPedia","Gold"
"119","DBPedia","Gold"
"120","DBPedia","Gold"
"121","DBPedia","Gold"
"122","DBPedia","Gold"
"123","DBPedia","Gold"
"124","DBPedia","Gold"
"125","DBPedia","Gold"
"126","DBPedia","Gold"
"127","DBPedia","Gold"
"128","DBPedia","Gold"
"129","DBPedia","Gold"
"130","DBPedia","Gold"
