Name,Nationality,Sport
István Kovács (wrestler),,Olympic wrestler
Ivan Hlinka,Czechoslovakia,Ice Hockey
Ivan Sutherland (rower),,Rower
Elisabeta Lazăr,,Rower
Ellie Daniel,United States,American swimmer Olympic gold medalist former world record-holder
Erich Kühnhackl,Czechoslovakia,Ice Hockey
Eshetu Tura,,Athletics (sport) competitor
Tomás Herrera Martínez,,Basketball
Mária Vadász,Hungary,Handball
Wiltrud Drexel,Austria,Alpine skier
Yuri Salnikov,Soviet Union,Equestrian
Franz Schachner,,Luger
Géza Csapó,,Canoe racer
Galina Mishenina,,Rower
Diego Lapera,Cuba,Volleyball
Dietmar Lorenz,,Judoka
Douglas Rodríguez (boxer),Cuba,Boxer
Rod Dixon,Denmark,New Zealand distance runner
Roland Matthes,Germany,Swimmer
Rozália Lelkes,Hungary,Handball
Ryszard Przybysz,Poland,Handball
Miguel Calderón Gómez,,Basketball
Uwe Kagelmann,Germany,German pair skater
Víctor García,,Volleyball
Valentyna Kozyr,,Soviet-Ukrainian high jumper
Shota Chochishvili,Soviet Union,Judoka
Simon Schobel,,Handball
Maricica Puică,,Athletics (sport) competitor
Mark Spitz,United States,American swimmer Olympic gold medalist
Jan Evert Veer,Netherlands,former Dutch water polo player participated in three Summer Olympics
Jan Johnson,United States,Athletics (sport) competitor
Juan Domecq,,Basketball
Juan Roca Brunet,,Basketball
Juris Silovs (athlete),,Athletics (sport) competitor
Radu Voina,Romania,Handball
Rafael Cañizares,,Basketball
Ravdangiin Davaadalai,,Judoka
Renate Stecher,Germany,German sprinter
Peter van Roye,,Rower
Alec McLean,New Zealand,Rower
Risto Hurme,Finland,Modern pentathlete fencer
Robert Cusack,,Swimmer
Robert Kasting,Canada,Swimmer
Sumio Endo,,Judoka
Tanya Gogova,,Volleyball
Tatyana Averina,Russia,Speed skater
David Torosyan,Armenia,Boxer
Munawwaruz Zaman,Pakistan,Field hockey
Nadezhda Besfamilnaya,Soviet Union,Soviet sprinter
Vasyl Yurchenko,Soviet Union,Ukrainian canoeist
Viktor Zvyahintsev,Ukraine,Ukrainian footballer
Vladimir Bure,,Swimmer
Vladimir Kondra,Russia,Volleyball
Amália Sterbinszky,Hungary,Handball
Andrei Yakubik,Soviet Union,Soviet footballer
Lothar Kurbjuweit,Germany,German footballer and manager
Fedia Damianov,,Canoe racer
Inge Helten,Germany,German sprinter
Charles Wiggin,United Kingdom,Rower
Adrian Cosma,,Handball
Conrado Pérez,,Basketball
Constantin Tudosie,Romania,Handball
Corneliu Oros,Romania,Volleyball
Cynthia Potter,United States,Diver
Karlheinz Klotz,Germany,German sprinter
Keala O'Sullivan,United States,Former American Olympic diver.
Kenkichi Ando,,Weightlifter
Inta Kļimoviča,Soviet Union,Soviet sprinter
Jörg Landvoigt,Germany,Rower
Jürgen Fanghänel,Germany,Boxer
Jack Horsley,United States,American swimmer Olympic bronze medalist physician
Enrique Rodríguez (boxer),,Boxer
Eric Lindroth,,Water polo player
Ernesto Martínez,Cuba,Volleyball
Thea Einöder,,Rower
Magda Maros,Hungary,Hungarian fencer
Manfred Geyer,Germany,German biathlete
Manfred Schumann,United States,Bobsledder
Greg Brough,,Swimmer
Grzegorz Stellak,Poland,Polish rower
Gwen Cheeseman,United States,Field hockey
Wolfgang Güldenpfennig,Germany,Rower
Wolfgang Hanisch,Germany,Athletics (sport) competitor German javelin thrower
Wolfram Fiedler,Germany,Luger
Yevgeniy Gavrilenko,Soviet Union,Soviet hurdler
Zoltán Bakó,,Canoe racer
Franz-Peter Hofmeister,Germany,German sprinter
Gary Hall Sr.,United States,American swimmer Olympic silver medalist former world record-holder
Peter Dean (sailor),United States,Sailor
Peter Ficker,,Sailor
Peter Niehusen,,Rower
Dianne Holum,United States,Speed skater
Didier Flament,France,Fencer
Don Quarrie,Jamaica,Athletics (sport) competitor sprinter
Doug Herland,,Olympic medalist in rowing
Ronnie Mills,United States,American swimmer Olympic gold medalist
Rudolf Schmid (luger),,Luger
Ryszard Kubiak,,Rower
Ryszard Stadniuk,,Rower
Mieczysław Nowicki,Poland,Polish racing cyclist
Mieczysław Wojczak,Poland,Handball
Minneula Azizov,Soviet Union,Field hockey
Sergei Nikulin,Tajikistan,Russian footballer
Simon Dickie,,Rower
Siyka Kelbecheva,,Rower
Harald Gimpel,,Canoe racer
Konrad Weise,Germany,German footballer
Laurenţiu Dumănoiu,Romania,Volleyball
Maria Nichiforov,,Canoe racer
Marlene Elejarde,,Athletics (sport) competitor
Jan Gmyrek,Poland,Handball
Jane Swagerty,United States,American swimmer Olympic bronze medalist
Janusz Brzozowski (handballer),Poland,Handball
Dražen Dalipagić,Yugoslavia,Basketball
Eberhard Gienger,Germany,Gymnast
