"","dataset","Sport"
"1","DBPedia","Field hockey"
"2","DBPedia","Volleyball"
"3","DBPedia","Handball"
"4","DBPedia","Handball"
"5","DBPedia","Handball"
"6","DBPedia","Volleyball"
"7","DBPedia","Handball"
"8","DBPedia","Volleyball"
"9","DBPedia","Ice Hockey"
"10","DBPedia","Basketball"
"11","DBPedia","Handball"
"12","DBPedia","Field hockey"
"13","DBPedia","Volleyball"
"14","DBPedia","Handball"
"15","DBPedia","Volleyball"
"16","DBPedia","Volleyball"
"17","DBPedia","Handball"
"18","DBPedia","Handball"
"19","DBPedia","Volleyball"
"20","DBPedia","Volleyball"
"21","DBPedia","Basketball"
"22","DBPedia","Volleyball"
"23","DBPedia","Handball"
"24","DBPedia","Basketball"
"25","DBPedia","Volleyball"
"26","DBPedia","Volleyball"
"27","DBPedia","Volleyball"
"28","DBPedia","Basketball"
"29","DBPedia","Volleyball"
"30","DBPedia","Handball"
"31","DBPedia","Volleyball"
"32","DBPedia","Handball"
"33","DBPedia","Volleyball"
"34","DBPedia","Basketball"
"35","DBPedia","Handball"
"36","DBPedia","Volleyball"
"37","DBPedia","Field hockey"
"38","DBPedia","Basketball"
"39","DBPedia","Volleyball"
"40","DBPedia","Handball"
"41","DBPedia","Ice Hockey"
"42","DBPedia","Volleyball"
"43","DBPedia","Handball"
"44","DBPedia","Field hockey"
"45","DBPedia","Field hockey"
"46","DBPedia","Volleyball"
"47","DBPedia","Field hockey"
"48","DBPedia","Handball"
"49","DBPedia","Volleyball"
"50","DBPedia","Ice Hockey"
"51","DBPedia","Handball"
"52","DBPedia","Volleyball"
"53","DBPedia","Basketball"
"54","DBPedia","Volleyball"
"55","DBPedia","Volleyball"
"56","DBPedia","Volleyball"
"57","DBPedia","Handball"
"58","DBPedia","Volleyball"
"59","DBPedia","Handball"
"60","DBPedia","Volleyball"
"61","DBPedia","Ice Hockey"
"62","DBPedia","Basketball"
"63","DBPedia","Volleyball"
"64","DBPedia","Basketball"
"65","DBPedia","Field hockey"
"66","DBPedia","Field hockey"
"67","DBPedia","Volleyball"
"68","DBPedia","Volleyball"
"69","DBPedia","Basketball"
"70","DBPedia","Handball"
"71","DBPedia","Volleyball"
"72","DBPedia","Ice Hockey"
"73","DBPedia","Field hockey"
"74","DBPedia","Basketball"
"75","DBPedia","Ice Hockey"
"76","DBPedia","Ice Hockey"
"77","DBPedia","Volleyball"
"78","DBPedia","Ice Hockey"
"79","DBPedia","Basketball"
"80","DBPedia","Field hockey"
"81","DBPedia","Basketball"
"82","DBPedia","Volleyball"
"83","DBPedia","Basketball"
"84","DBPedia","Basketball"
"85","DBPedia","Handball"
