"","dataset","Sport"
"1","DBPedia","Ice Hockey"
"2","DBPedia","Ice Hockey"
"3","DBPedia","Basketball"
"4","DBPedia","Handball"
"5","DBPedia","Volleyball"
"6","DBPedia","Handball"
"7","DBPedia","Handball"
"8","DBPedia","Basketball"
"9","DBPedia","Volleyball"
"10","DBPedia","Handball"
"11","DBPedia","Basketball"
"12","DBPedia","Basketball"
"13","DBPedia","Handball"
"14","DBPedia","Basketball"
"15","DBPedia","Volleyball"
"16","DBPedia","Field hockey"
"17","DBPedia","Volleyball"
"18","DBPedia","Handball"
"19","DBPedia","Handball"
"20","DBPedia","Basketball"
"21","DBPedia","Handball"
"22","DBPedia","Volleyball"
"23","DBPedia","Volleyball"
"24","DBPedia","Field hockey"
"25","DBPedia","Handball"
"26","DBPedia","Field hockey"
"27","DBPedia","Volleyball"
"28","DBPedia","Handball"
"29","DBPedia","Handball"
"30","DBPedia","Basketball"
"31","DBPedia","Field hockey"
"32","DBPedia","Volleyball"
"33","DBPedia","Basketball"
"34","DBPedia","Basketball"
"35","DBPedia","Field hockey"
"36","DBPedia","Volleyball"
"37","DBPedia","Handball"
"38","DBPedia","Volleyball"
"39","DBPedia","Handball"
"40","DBPedia","Field hockey"
"41","DBPedia","Volleyball"
"42","DBPedia","Handball"
"43","DBPedia","Volleyball"
"44","DBPedia","Handball"
"45","DBPedia","Field hockey"
"46","DBPedia","Handball"
"47","DBPedia","Field hockey"
"48","DBPedia","Volleyball"
"49","DBPedia","Handball"
"50","DBPedia","Handball"
"51","DBPedia","Handball"
"52","DBPedia","Field hockey"
"53","DBPedia","Volleyball"
"54","DBPedia","Handball"
"55","DBPedia","Volleyball"
"56","DBPedia","Volleyball"
"57","DBPedia","Ice Hockey"
"58","DBPedia","Volleyball"
"59","DBPedia","Ice Hockey"
"60","DBPedia","Handball"
"61","DBPedia","Ice Hockey"
"62","DBPedia","Basketball"
"63","DBPedia","Field hockey"
"64","DBPedia","Handball"
"65","DBPedia","Basketball"
"66","DBPedia","Field hockey"
"67","DBPedia","Field hockey"
"68","DBPedia","Field hockey"
"69","DBPedia","Handball"
"70","DBPedia","Volleyball"
"71","DBPedia","Field hockey"
"72","DBPedia","Volleyball"
"73","DBPedia","Field hockey"
"74","DBPedia","Volleyball"
"75","DBPedia","Volleyball"
"76","DBPedia","Basketball"
"77","DBPedia","Field hockey"
"78","DBPedia","Ice Hockey"
"79","DBPedia","Field hockey"
"80","DBPedia","Volleyball"
"81","DBPedia","Volleyball"
"82","DBPedia","Basketball"
"83","DBPedia","Handball"
"84","DBPedia","Volleyball"
"85","DBPedia","Handball"
"86","DBPedia","Handball"
"87","DBPedia","Ice Hockey"
"88","DBPedia","Volleyball"
"89","DBPedia","Handball"
"90","DBPedia","Volleyball"
"91","DBPedia","Handball"
"92","DBPedia","Volleyball"
"93","DBPedia","Handball"
"94","DBPedia","Handball"
"95","DBPedia","Ice Hockey"
"96","DBPedia","Ice Hockey"
"97","DBPedia","Ice Hockey"
"98","DBPedia","Volleyball"
"99","DBPedia","Volleyball"
"100","DBPedia","Handball"
"101","DBPedia","Ice Hockey"
"102","DBPedia","Field hockey"
"103","DBPedia","Volleyball"
"104","DBPedia","Handball"
"105","DBPedia","Volleyball"
"106","DBPedia","Volleyball"
"107","DBPedia","Volleyball"
"108","DBPedia","Handball"
"109","DBPedia","Field hockey"
"110","DBPedia","Field hockey"
"111","DBPedia","Handball"
"112","DBPedia","Field hockey"
"113","DBPedia","Handball"
"114","DBPedia","Volleyball"
"115","DBPedia","Handball"
"116","DBPedia","Handball"
"117","DBPedia","Field hockey"
"118","DBPedia","Ice Hockey"
"119","DBPedia","Handball"
"120","DBPedia","Field hockey"
"121","DBPedia","Handball"
"122","DBPedia","Handball"
"123","DBPedia","Field hockey"
"124","DBPedia","Handball"
"125","DBPedia","Handball"
"126","DBPedia","Handball"
"127","DBPedia","Field hockey"
"128","DBPedia","Volleyball"
"129","DBPedia","Handball"
"130","DBPedia","Field hockey"
"131","DBPedia","Handball"
"132","DBPedia","Field hockey"
"133","DBPedia","Handball"
"134","DBPedia","Volleyball"
"135","DBPedia","Handball"
"136","DBPedia","Field hockey"
"137","DBPedia","Basketball"
"138","DBPedia","Field hockey"
"139","DBPedia","Volleyball"
"140","DBPedia","Handball"
"141","DBPedia","Ice Hockey"
"142","DBPedia","Volleyball"
"143","DBPedia","Field hockey"
"144","DBPedia","Field hockey"
"145","DBPedia","Handball"
"146","DBPedia","Volleyball"
"147","DBPedia","Handball"
"148","DBPedia","Ice Hockey"
"149","DBPedia","Handball"
"150","DBPedia","Ice Hockey"
"151","DBPedia","Field hockey"
"152","DBPedia","Ice Hockey"
"153","DBPedia","Basketball"
"154","DBPedia","Handball"
"155","DBPedia","Basketball"
"156","DBPedia","Handball"
"157","DBPedia","Field hockey"
"158","DBPedia","Handball"
"159","DBPedia","Handball"
"160","DBPedia","Field hockey"
"161","DBPedia","Volleyball"
"162","DBPedia","Handball"
"163","DBPedia","Basketball"
"164","DBPedia","Field hockey"
"165","DBPedia","Field hockey"
"166","DBPedia","Field hockey"
"167","DBPedia","Basketball"
"168","DBPedia","Field hockey"
"169","DBPedia","Field hockey"
"170","DBPedia","Volleyball"
"171","DBPedia","Volleyball"
"172","DBPedia","Handball"
"173","DBPedia","Field hockey"
"174","DBPedia","Volleyball"
"175","DBPedia","Volleyball"
"176","DBPedia","Ice Hockey"
"177","DBPedia","Handball"
"178","DBPedia","Handball"
"179","DBPedia","Ice Hockey"
"180","DBPedia","Volleyball"
"181","DBPedia","Handball"
"182","DBPedia","Ice Hockey"
"183","DBPedia","Ice Hockey"
"184","DBPedia","Field hockey"
"185","DBPedia","Volleyball"
"186","DBPedia","Ice Hockey"
"187","DBPedia","Field hockey"
"188","DBPedia","Volleyball"
"189","DBPedia","Ice Hockey"
"190","DBPedia","Field hockey"
"191","DBPedia","Ice Hockey"
"192","DBPedia","Handball"
"193","DBPedia","Handball"
"194","DBPedia","Basketball"
"195","DBPedia","Handball"
"196","DBPedia","Volleyball"
"197","DBPedia","Handball"
"198","DBPedia","Handball"
"199","DBPedia","Volleyball"
"200","DBPedia","Handball"
"201","DBPedia","Volleyball"
"202","DBPedia","Ice Hockey"
"203","DBPedia","Handball"
"204","DBPedia","Field hockey"
"205","DBPedia","Ice Hockey"
"206","DBPedia","Ice Hockey"
"207","DBPedia","Field hockey"
"208","DBPedia","Field hockey"
"209","DBPedia","Handball"
"210","DBPedia","Volleyball"
"211","DBPedia","Volleyball"
"212","DBPedia","Handball"
"213","DBPedia","Volleyball"
"214","DBPedia","Handball"
"215","DBPedia","Ice Hockey"
"216","DBPedia","Field hockey"
"217","DBPedia","Field hockey"
"218","DBPedia","Field hockey"
"219","DBPedia","Handball"
"220","DBPedia","Field hockey"
"221","DBPedia","Handball"
"222","DBPedia","Handball"
"223","DBPedia","Basketball"
"224","DBPedia","Field hockey"
"225","DBPedia","Handball"
"226","DBPedia","Field hockey"
"227","DBPedia","Handball"
"228","DBPedia","Handball"
"229","DBPedia","Handball"
"230","DBPedia","Handball"
"231","DBPedia","Handball"
"232","DBPedia","Field hockey"
"233","DBPedia","Field hockey"
"234","DBPedia","Field hockey"
"235","DBPedia","Handball"
"236","DBPedia","Volleyball"
"237","DBPedia","Volleyball"
"238","DBPedia","Volleyball"
"239","DBPedia","Field hockey"
"240","DBPedia","Volleyball"
"241","DBPedia","Ice Hockey"
"242","DBPedia","Handball"
"243","DBPedia","Volleyball"
"244","DBPedia","Handball"
"245","DBPedia","Ice Hockey"
"246","DBPedia","Volleyball"
"247","DBPedia","Ice Hockey"
"248","DBPedia","Handball"
"249","DBPedia","Handball"
"250","DBPedia","Volleyball"
"251","DBPedia","Handball"
"252","DBPedia","Field hockey"
"253","DBPedia","Ice Hockey"
"254","DBPedia","Volleyball"
"255","DBPedia","Handball"
"256","DBPedia","Basketball"
"257","DBPedia","Handball"
"258","DBPedia","Ice Hockey"
"259","DBPedia","Volleyball"
"260","DBPedia","Handball"
"261","DBPedia","Handball"
"262","DBPedia","Basketball"
"263","DBPedia","Field hockey"
"264","DBPedia","Ice Hockey"
"265","DBPedia","Handball"
"266","DBPedia","Ice Hockey"
"267","DBPedia","Volleyball"
